index,text,audio_path,word_count,potential_question,potential_statement
0,o kilo hotel uniform u,audio_files/audio_0.wav,5,False,True
1,hotel charlie papa frequency change approved bis spater,audio_files/audio_1.wav,8,False,True
2,direct padka request three five zero,audio_files/audio_2.wav,6,True,False
3,praha good morning lufthansa two five three,audio_files/audio_3.wav,7,False,True
4,sa six mike alfa,audio_files/audio_4.wav,4,False,True
5,csa three kilo foxtrot change proceed direct to lodz,audio_files/audio_5.wav,9,False,True
6,csa four two zero praha radar contact climb to flight level three four zero,audio_files/audio_6.wav,14,False,True
7,hotel hotel xray vacacated at zero and to the right and contact apron one two one decimal seven five five bye bye,audio_files/audio_7.wav,22,False,True
8,proceed direct baltu oscar kilo kilo uniform november,audio_files/audio_8.wav,8,False,True
9,high speed approved csa seven bravo juliett,audio_files/audio_9.wav,7,False,True
10,csa nine two six roger line up runway three one cleared for takeoff wind two zero zero degrees four knots,audio_files/audio_10.wav,20,False,True
11,affirm cleared ils approach,audio_files/audio_11.wav,4,False,True
12,one zero zero wizz air four xray zulu,audio_files/audio_12.wav,8,False,True
13,zero to holesova requested level one eight,audio_files/audio_13.wav,7,True,False
15,the ils for runway three one,audio_files/audio_15.wav,6,False,True
16,roger climb to flight level three three zero,audio_files/audio_16.wav,8,False,True
17,descending flight level one one zero csa five,audio_files/audio_17.wav,8,False,True
18,thank you,audio_files/audio_18.wav,2,False,True
19,good morning lufthansa two kilo victor we are leaving two six descending level,audio_files/audio_19.wav,13,False,True
20,aero flot one four one runway three one clear to land wind one seven zero degrees three kno,audio_files/audio_20.wav,18,False,True
21,praha radar volga dniepr six seven two zero good evening maintaining level three three zero,audio_files/audio_21.wav,15,False,True
22,vel two eight zero air berlin two eight two gol,audio_files/audio_22.wav,10,False,True
23,o kemad thomson three seven nine thank you,audio_files/audio_23.wav,8,False,True
24,that s affirmative we would like to climb to flight level three two zero mike alfa kilo,audio_files/audio_24.wav,17,False,True
25,lufthansa seven two six direct and warsaw one three four and decimal nine two five,audio_files/audio_25.wav,15,False,True
26,csa five bravo b rad radar contact climb to flight level one six zero climbing flight level one six zero csa,audio_files/audio_26.wav,21,False,True
27,hotel bravo papa oscar echo zurich tower go ahead,audio_files/audio_27.wav,9,False,True
28,six seven,audio_files/audio_28.wav,2,False,True
29,cathay zero six eight after passing omelo proceed romis,audio_files/audio_29.wav,9,False,True
30,condor five two two contact,audio_files/audio_30.wav,5,False,True
31,tact praha radar one two zero two seven five wizz air four,audio_files/audio_31.wav,12,False,True
32,own navigation to csa three zero three,audio_files/audio_32.wav,7,False,True
33,one three three four one zero qatari three zero si,audio_files/audio_33.wav,10,False,True
34,yeah sorry it is not possible because of noise restrictions,audio_files/audio_34.wav,10,False,True
35,three three eight six zero luft transport one five five good bye,audio_files/audio_35.wav,12,False,True
36,line up and wait runway three one,audio_files/audio_36.wav,7,False,True
37,three three three nine zero ryan air five three lima xray bye bye,audio_files/audio_37.wav,13,False,True
38,lufthansa eight echo papa one three three three nine zero have a nice day bye,audio_files/audio_38.wav,15,False,True
39,one three one three five zero oscar yankee,audio_files/audio_39.wav,8,False,True
40,klm one eight four,audio_files/audio_40.wav,4,False,True
41,swiss one one eight yankee descend flight level one zero zero,audio_files/audio_41.wav,11,False,True
42,continuing appro,audio_files/audio_42.wav,2,False,True
43,grosjet seven whiskey radar radar contact,audio_files/audio_43.wav,6,False,True
44,praha good afternoon lufthansa three charlie hotel passing level three six three descending level three four zero inbound marem,audio_files/audio_44.wav,19,False,True
45,bye bye,audio_files/audio_45.wav,2,False,True
46,easy two five eight quebec resume own navigation to the left proceed direct to cerno left to cerno easy two five eight quebec,audio_files/audio_46.wav,23,False,True
47,four zero austrian three three,audio_files/audio_47.wav,5,False,True
48,left heading one two zero csa nine seven,audio_files/audio_48.wav,8,False,True
49,lufthansa one four nine one descend flight level three zero zero given rate,audio_files/audio_49.wav,13,False,True
50,nine zero beline,audio_files/audio_50.wav,3,False,True
51,three four two six joining right hand downwind runway two five grass,audio_files/audio_51.wav,12,False,True
52,speed bird eight two zero track distance to touch down six five miles,audio_files/audio_52.wav,13,False,True
53,jobair zero seven one line up runway one three,audio_files/audio_53.wav,9,False,True
54,i will call you,audio_files/audio_54.wav,4,False,True
55,for runway one,audio_files/audio_55.wav,3,False,True
56,hello air france two four eight three ruzyne tower expect one more landing,audio_files/audio_56.wav,13,False,True
57,descend level three four zero lufthansa three kilo victor,audio_files/audio_57.wav,9,False,True
58,descending nine zero one one nine zero csa,audio_files/audio_58.wav,8,False,True
59,austrian seven zero three praha hello radar contact follow vlm one romeo,audio_files/audio_59.wav,12,False,True
60,lufthansa five papa juliett one three one zero five five bye bye,audio_files/audio_60.wav,12,False,True
61,lufthansa seven two six proceed direct lima delta z on course to lufthansa seven two six thank you very much,audio_files/audio_61.wav,20,False,True
62,qnh one zero one eight after keep the proceeding to victor,audio_files/audio_62.wav,11,False,True
63,praha radar csa five one seven reaching flight level one five zero and,audio_files/audio_63.wav,13,False,True
64,to reach rapet three zero zero qatari,audio_files/audio_64.wav,7,False,True
65,swiss four seven three charlie stop climb at flight level one two zero only,audio_files/audio_65.wav,14,False,True
66,german wings seven fi,audio_files/audio_66.wav,4,False,True
67,csa seven five nine contact ground one two one nine,audio_files/audio_67.wav,10,False,True
68,german wings seven papa roger,audio_files/audio_68.wav,5,False,True
69,six zero maintain,audio_files/audio_69.wav,3,False,True
70,oscar yankee november,audio_files/audio_70.wav,3,False,True
71,lufthansa four hotel romeo radar contact,audio_files/audio_71.wav,6,False,True
72,sky travel six eight two contact praha radar one two seven decimal eight two five,audio_files/audio_72.wav,15,False,True
73,csa five papa charlie radar radar contact no speed descend flight level one zero zero,audio_files/audio_73.wav,15,False,True
74,one two one nine good bye swiss four seven two ech,audio_files/audio_74.wav,11,False,True
75,romeo ki,audio_files/audio_75.wav,2,False,True
76,four zero climbing,audio_files/audio_76.wav,3,False,True
77,baltu two bravo runway three one copied six six two three wizz air five nine one,audio_files/audio_77.wav,16,False,True
78,csa eight five seven descend to flight level one one zero,audio_files/audio_78.wav,11,False,True
79,lufthansa nine four november contact praha one two seven one two five good day,audio_files/audio_79.wav,14,False,True
80,oman air one zero two praha good morning radar contact,audio_files/audio_80.wav,10,False,True
81,three one two passing flight level two two seven climbing three one zero,audio_files/audio_81.wav,13,False,True
83,wizz air four uniform zulu contact praha one one eight decimal three seven five,audio_files/audio_83.wav,14,False,True
84,one one eight,audio_files/audio_84.wav,3,False,True
85,via hotel lima holding two four sky travel,audio_files/audio_85.wav,8,False,True
86,wien one three four four four zero india foxtrot bye,audio_files/audio_86.wav,10,False,True
87,praha austrian five five alfa delta maintain level three four zero on for the last ten mintues,audio_files/audio_87.wav,17,False,True
88,air berlin one one five quebec contact praha one three three three nine zero good day,audio_files/audio_88.wav,16,False,True
89,negative one three three three nine zero,audio_files/audio_89.wav,7,False,True
90,ne three five one three five three five three,audio_files/audio_90.wav,9,False,True
91,by a left turn to heading,audio_files/audio_91.wav,6,False,True
92,radar good aftenoon eight delta inbound to tusin maintaining three four zero,audio_files/audio_92.wav,12,False,True
93,austrian three one one november call praha one three three point three nine zero good bye,audio_files/audio_93.wav,16,False,True
94,csa three delta echo contact ruzyne ground one two one decimal nin nine two one nine csa,audio_files/audio_94.wav,17,False,True
95,please direct varik,audio_files/audio_95.wav,3,False,True
96,prague yangzte river se,audio_files/audio_96.wav,4,False,True
97,climb flight level one six zero csa six zero five zero,audio_files/audio_97.wav,11,False,True
98,praha departure lufthansa nine echo lima climbing five thousand passing three thousand six,audio_files/audio_98.wav,13,False,True
99,one zero three,audio_files/audio_99.wav,3,False,True
100,sky travel six seven zero contact praha radar one two seven decimal eight two five,audio_files/audio_100.wav,15,False,True
101,turn by ten to the left cimber three five two seven,audio_files/audio_101.wav,11,False,True
102,austrian seven one contact rhein one three three decimal eight,audio_files/audio_102.wav,10,False,True
103,dar hello lufthansa,audio_files/audio_103.wav,3,False,True
104,two seven eight two five air malta five three eight good day,audio_files/audio_104.wav,12,False,True
105,nine sierra,audio_files/audio_105.wav,2,False,True
106,qnh one zero two zero and four thousand feet oscar kilo delta sierra juliett,audio_files/audio_106.wav,14,False,True
107,hotel foxtrot three descend to flig altitude five thousand feet qnh one zero two one,audio_files/audio_107.wav,15,False,True
108,praha radar csa five six zero passing two thousand two hundred,audio_files/audio_108.wav,11,False,True
109,we will taxi to sector blue when ready hotel charlie november,audio_files/audio_109.wav,11,True,False
110,squawk four four two five and start and push pre approved position fox two foxtrot,audio_files/audio_110.wav,15,False,True
111,shamrock six four four runway three one clear to land wind zero six zero degrees and five knots,audio_files/audio_111.wav,18,False,True
112,three zero one,audio_files/audio_112.wav,3,False,True
113,descending flight level one hundred free speed csa one delta zulu,audio_files/audio_113.wav,11,False,True
114,lot five two seven right heading two five zero to the right heading two five zero lot five two sev,audio_files/audio_114.wav,20,False,True
115,descend flight level two nine zero csa two eight,audio_files/audio_115.wav,9,False,True
116,two zero five five zero good bye quality eight nine sierra thanks for the shortcut,audio_files/audio_116.wav,15,False,True
117,praha radar good day easy two five eight quebec one two bravo passing one thousand seven hundred climbing five,audio_files/audio_117.wav,19,False,True
118,speed two two zero knots descending flight level one zero zero csa five six one,audio_files/audio_118.wav,15,False,True
119,thank you,audio_files/audio_119.wav,2,False,True
120,flight level three five zero is available with mach point eight four or less,audio_files/audio_120.wav,14,False,True
121,climb to flight level one six zero csa four delta romeo,audio_files/audio_121.wav,11,False,True
122,minimum approach speed csa seven zero one,audio_files/audio_122.wav,7,False,True
123,climb flight level three three zero cimber zero five,audio_files/audio_123.wav,9,False,True
124,klm one eight four eight contact praha one three three decimal three nine zero good by,audio_files/audio_124.wav,16,False,True
125,lufthansa four november lima praha hello radar contact climb flight level three hundred,audio_files/audio_125.wav,13,False,True
126,two two bravo bye,audio_files/audio_126.wav,4,False,True
127,descending flight level nine zero five five alfa two,audio_files/audio_127.wav,9,False,True
129,chen one three three de,audio_files/audio_129.wav,5,False,True
130,csa nine two delta radar departure set heading three six zero,audio_files/audio_130.wav,11,False,True
131,descend flight level nine zero contact one one nine decimal zero to,audio_files/audio_131.wav,12,False,True
132,praha radar air berlin five three eight lima climbing flight level two eight zero inbound lanux,audio_files/audio_132.wav,16,False,True
133,air malta five three nine radar departure terminated proceed direct to cerno,audio_files/audio_133.wav,12,False,True
134,left heading three four zero cleared ils three one i call established csa,audio_files/audio_134.wav,13,False,True
135,lufthansa four uniform alfa one three three two eight five,audio_files/audio_135.wav,10,False,True
136,lufthansa eight hotel romeo climb flight level one six zero,audio_files/audio_136.wav,10,False,True
137,klm one three five one contact ground one two one nine good bye one two one nine klm one three five one good day,audio_files/audio_137.wav,24,False,True
138,singapoore two five hello radar contact,audio_files/audio_138.wav,6,False,True
139,praha radar wizz air five two one descend to the flight level back flight level three eight zero,audio_files/audio_139.wav,18,False,True
140,csa eight two six runway one three cleared for takeoff wind one four zero degrees three knots,audio_files/audio_140.wav,17,False,True
141,three two zero,audio_files/audio_141.wav,3,False,True
142,csa seven two six contact praha radar one two seven decimal eight two five,audio_files/audio_142.wav,14,False,True
143,direct to,audio_files/audio_143.wav,2,False,True
144,any air short,audio_files/audio_144.wav,3,False,True
145,ok descend flight level eight zero flight level eight,audio_files/audio_145.wav,9,False,True
146,tower malev eight two zero fully established three one,audio_files/audio_146.wav,9,False,True
147,clear to land shamrock six four four,audio_files/audio_147.wav,7,False,True
148,air france three nine three victor line up runway one three,audio_files/audio_148.wav,11,False,True
149,csa three sierra lima any chance to,audio_files/audio_149.wav,7,False,True
150,ruzyne tower csa five seven three establish ils approach runway,audio_files/audio_150.wav,10,False,True
151,tower hello nor shuttle one five zero three,audio_files/audio_151.wav,8,False,True
152,sion tower at departure echo two for turn bravo papa zulu,audio_files/audio_152.wav,11,False,True
153,climbing three one zero on the way to agnav,audio_files/audio_153.wav,9,False,True
154,descending flight level nine zero swiss,audio_files/audio_154.wav,6,False,True
155,descending flight level two nine zero be level over tomti wizz air five three five,audio_files/audio_155.wav,15,False,True
156,donavia three zero five runway three one clear to land wind three three zero degrees and three knots,audio_files/audio_156.wav,18,False,True
157,roger when vacated runway con,audio_files/audio_157.wav,5,True,False
158,affirmatif montana,audio_files/audio_158.wav,2,False,True
159,air france two four eight three climb flight level two zero zero climbing flight level two hundred air f,audio_files/audio_159.wav,19,False,True
160,beair five five two radar radar contace descend flight level one zero zero and papa information,audio_files/audio_160.wav,16,False,True
161,sky travel six eight two taxi zulu bravo delta lima holding point ru,audio_files/audio_161.wav,13,False,True
162,roger start and push approved,audio_files/audio_162.wav,5,False,True
163,papa ground one,audio_files/audio_163.wav,3,False,True
164,lufthansa eight papa lima contact bratislava one three four decimal four seven five,audio_files/audio_164.wav,13,False,True
165,one three two one five five lufthansa six zero one,audio_files/audio_165.wav,10,False,True
166,csa six two two runway three one cleared for takeoff wind one eight zero degrees five knots takeoff runway three one csa six two two,audio_files/audio_166.wav,25,False,True
167,air china nine six one praha hello radar contact,audio_files/audio_167.wav,9,False,True
168,climb flight level three three zero csa four zero six,audio_files/audio_168.wav,10,False,True
169,csa six two three ground one two one decimal nine one two one nine csa six two three,audio_files/audio_169.wav,18,False,True
170,lufthansa three charlie hotel one three five one three five good bye,audio_files/audio_170.wav,12,False,True
171,runway three one cleared for takeoff and we need another thirdy seconds behind departure,audio_files/audio_171.wav,14,False,True
172,seven five el al two five two have a nice flight bye bye,audio_files/audio_172.wav,13,False,True
173,maintaining three four,audio_files/audio_173.wav,3,False,True
174,turkish three whiskey quebec taxi via echo and echo seven hold short of runway one six,audio_files/audio_174.wav,16,False,True
175,to the left heading one five zero lot five two ze,audio_files/audio_175.wav,11,False,True
176,one one eight three seven five aero flot one five zero thank you bye,audio_files/audio_176.wav,14,False,True
