index,text,audio_path
0,o kilo hotel uniform u,audio_files/audio_0.wav
1,hotel charlie papa frequency change approved bis spater,audio_files/audio_1.wav
2,direct padka request three five zero,audio_files/audio_2.wav
3,praha good morning lufthansa two five three,audio_files/audio_3.wav
4,sa six mike alfa,audio_files/audio_4.wav
5,csa three kilo foxtrot change proceed direct to lodz,audio_files/audio_5.wav
6,csa four two zero praha radar contact climb to flight level three four zero,audio_files/audio_6.wav
7,hotel hotel xray vacacated at zero and to the right and contact apron one two one decimal seven five five bye bye,audio_files/audio_7.wav
8,proceed direct baltu oscar kilo kilo uniform november,audio_files/audio_8.wav
9,high speed approved csa seven bravo juliett,audio_files/audio_9.wav
10,csa nine two six roger line up runway three one cleared for takeoff wind two zero zero degrees four knots,audio_files/audio_10.wav
11,affirm cleared ils approach,audio_files/audio_11.wav
12,one zero zero wizz air four xray zulu,audio_files/audio_12.wav
13,zero to holesova requested level one eight,audio_files/audio_13.wav
14,fa,audio_files/audio_14.wav
15,the ils for runway three one,audio_files/audio_15.wav
16,roger climb to flight level three three zero,audio_files/audio_16.wav
17,descending flight level one one zero csa five,audio_files/audio_17.wav
18,thank you,audio_files/audio_18.wav
19,good morning lufthansa two kilo victor we are leaving two six descending level,audio_files/audio_19.wav
20,aero flot one four one runway three one clear to land wind one seven zero degrees three kno,audio_files/audio_20.wav
21,praha radar volga dniepr six seven two zero good evening maintaining level three three zero,audio_files/audio_21.wav
22,vel two eight zero air berlin two eight two gol,audio_files/audio_22.wav
23,o kemad thomson three seven nine thank you,audio_files/audio_23.wav
24,that s affirmative we would like to climb to flight level three two zero mike alfa kilo,audio_files/audio_24.wav
25,lufthansa seven two six direct and warsaw one three four and decimal nine two five,audio_files/audio_25.wav
26,csa five bravo b rad radar contact climb to flight level one six zero climbing flight level one six zero csa,audio_files/audio_26.wav
27,hotel bravo papa oscar echo zurich tower go ahead,audio_files/audio_27.wav
28,six seven,audio_files/audio_28.wav
29,cathay zero six eight after passing omelo proceed romis,audio_files/audio_29.wav
30,condor five two two contact,audio_files/audio_30.wav
31,tact praha radar one two zero two seven five wizz air four,audio_files/audio_31.wav
32,own navigation to csa three zero three,audio_files/audio_32.wav
33,one three three four one zero qatari three zero si,audio_files/audio_33.wav
34,yeah sorry it is not possible because of noise restrictions,audio_files/audio_34.wav
35,three three eight six zero luft transport one five five good bye,audio_files/audio_35.wav
36,line up and wait runway three one,audio_files/audio_36.wav
37,three three three nine zero ryan air five three lima xray bye bye,audio_files/audio_37.wav
38,lufthansa eight echo papa one three three three nine zero have a nice day bye,audio_files/audio_38.wav
39,one three one three five zero oscar yankee,audio_files/audio_39.wav
40,klm one eight four,audio_files/audio_40.wav
41,swiss one one eight yankee descend flight level one zero zero,audio_files/audio_41.wav
42,continuing appro,audio_files/audio_42.wav
43,grosjet seven whiskey radar radar contact,audio_files/audio_43.wav
44,praha good afternoon lufthansa three charlie hotel passing level three six three descending level three four zero inbound marem,audio_files/audio_44.wav
45,bye bye,audio_files/audio_45.wav
46,easy two five eight quebec resume own navigation to the left proceed direct to cerno left to cerno easy two five eight quebec,audio_files/audio_46.wav
47,four zero austrian three three,audio_files/audio_47.wav
48,left heading one two zero csa nine seven,audio_files/audio_48.wav
49,lufthansa one four nine one descend flight level three zero zero given rate,audio_files/audio_49.wav
50,nine zero beline,audio_files/audio_50.wav
51,three four two six joining right hand downwind runway two five grass,audio_files/audio_51.wav
52,speed bird eight two zero track distance to touch down six five miles,audio_files/audio_52.wav
53,jobair zero seven one line up runway one three,audio_files/audio_53.wav
54,i will call you,audio_files/audio_54.wav
55,for runway one,audio_files/audio_55.wav
56,hello air france two four eight three ruzyne tower expect one more landing,audio_files/audio_56.wav
57,descend level three four zero lufthansa three kilo victor,audio_files/audio_57.wav
58,descending nine zero one one nine zero csa,audio_files/audio_58.wav
59,austrian seven zero three praha hello radar contact follow vlm one romeo,audio_files/audio_59.wav
60,lufthansa five papa juliett one three one zero five five bye bye,audio_files/audio_60.wav
61,lufthansa seven two six proceed direct lima delta z on course to lufthansa seven two six thank you very much,audio_files/audio_61.wav
62,qnh one zero one eight after keep the proceeding to victor,audio_files/audio_62.wav
