index,text,audio_path,word_count,potential_question,potential_statement,label
10500,austrian five two hotel juliett praha,audio_files/audio_10500.wav,6,False,True,
10425,austrian seven two nine thank you,audio_files/audio_10425.wav,6,False,True,
882,roger standby for climb,audio_files/audio_882.wav,4,False,True,
10309,csa three charlie tango runway three one cleared for takeoff wind two one zero degrees five knots,audio_files/audio_10309.wav,17,False,True,
11616,sky travel one zero one zero confirm ready for departure we are ready for departure one zero one zero,audio_files/audio_11616.wav,19,True,False,
10676,initial one zero zero sierra papa sierra thank you,audio_files/audio_10676.wav,9,False,True,
9401,warsaw good morning lufthansa seven seven nine level three eight ze,audio_files/audio_9401.wav,11,False,True,
1895,thank you good bye five nine six,audio_files/audio_1895.wav,7,False,True,
3296,twojet four one six proceed to odnem and contact praha one three four decimal five nine zero good b,audio_files/audio_3296.wav,19,False,True,
3470,lufthansa seven five two request flight level three five zero,audio_files/audio_3470.wav,10,True,False,
4484,csa three foxtrot contact ruzyne ground one two one decimal nine,audio_files/audio_4484.wav,11,False,True,
2061,i just confirm what cleared flight level easy nine charlie lima,audio_files/audio_2061.wav,11,True,False,
11586,and report ready for departure once your re clear after inbound hotel delta lima,audio_files/audio_11586.wav,14,False,True,
8831,chanex one three nine,audio_files/audio_8831.wav,4,False,True,
6193,two one zero,audio_files/audio_6193.wav,3,False,True,
377,nine aero flot one four three,audio_files/audio_377.wav,6,False,True,
7435,locked for lufthansa six kilo victor say again please,audio_files/audio_7435.wav,9,True,False,
3275,one two zero decimal five two five oscar kilo mike echo papa,audio_files/audio_3275.wav,12,False,True,
2479,speed one eighty or less csa four yankee alfa,audio_files/audio_2479.wav,9,False,True,
8477,praha good afternoon easy six seven kilo papa descending one three zero one three request further descend,audio_files/audio_8477.wav,17,True,False,
9746,descending four thousand feet and cleared for ils approach runway three one csa three five delta,audio_files/audio_9746.wav,16,False,True,
4725,heading zero nine zero climbing one nine zero confirm aero flot one,audio_files/audio_4725.wav,12,True,False,
10295,sa six one three when ready descending level three hundred to reach by rapet,audio_files/audio_10295.wav,14,True,False,
8186,siberia eight nine eight squawk one four five one,audio_files/audio_8186.wav,9,False,True,
5748,charlie papa to confirm you proceed to chermignon,audio_files/audio_5748.wav,8,True,False,
6281,right turn heading one nine zero and request speed back,audio_files/audio_6281.wav,10,True,False,
2761,to confirm cleared for takeoff runway three one csa seven seven two affirm clear takeoff three one wind one seven zero degrees five knots,audio_files/audio_2761.wav,24,True,False,
8825,descend flight level one seven zero inbound information oscar on board qnh one zero two one,audio_files/audio_8825.wav,16,False,True,
3277,radar good morning lufthansa eight hotel h climbing flight level two eight zero,audio_files/audio_3277.wav,13,False,True,
2569,climbing flight level two eight zero,audio_files/audio_2569.wav,6,False,True,
9663,qatari six zero two three when ready descend flight level three zero zero reach level by rapet,audio_files/audio_9663.wav,17,True,False,
3642,four five seven confirm lufthansa seven one eight,audio_files/audio_3642.wav,8,True,False,
6714,csa seven eight six runway three one cleared for takeoff wind calm runway three one cleared for takeoff csa seven eight six,audio_files/audio_6714.wav,22,False,True,
6918,lot five two five speed two zero zero two hundred speed lot five two five,audio_files/audio_6918.wav,15,False,True,
10244,and ryan air six seven two nine please confirm climbing three four zero adaro oscar kilo golf,audio_files/audio_10244.wav,17,True,False,
5539,three romeo kilo please say again,audio_files/audio_5539.wav,6,True,False,
11335,lufthansa two five two eight squak one four seven two climb flight level three two zero,audio_files/audio_11335.wav,16,False,True,
2434,sky travel one zero three seven taxi via lima kilo hotel one stand tw,audio_files/audio_2434.wav,14,False,True,
7979,twin star eight eight seven next descend in two minutes,audio_files/audio_7979.wav,10,False,True,
1771,ruzyne good morning this is the sky travel one zero three four with information november request ba,audio_files/audio_1771.wav,17,True,False,
8717,say again please thai nine three three,audio_files/audio_8717.wav,7,True,False,
2619,yes quality eight nine sierra we need to vacate the car from taxiway right of you now so when clear you can,audio_files/audio_2619.wav,22,True,False,
8340,say again,audio_files/audio_8340.wav,2,True,False,
1521,bline seven zero victor taxi left hotel lima holding point r,audio_files/audio_1521.wav,11,False,True,
8061,ok request three six zero for cruise air france two three four seven,audio_files/audio_8061.wav,13,True,False,
7408,one charlie lima negative maintain flight level three three zero india say again maintain flight level three three zero,audio_files/audio_7408.wav,19,True,False,
6586,one seven si,audio_files/audio_6586.wav,3,False,True,
7307,descend flight level seven zero nor shuttle three five eight zero,audio_files/audio_7307.wav,11,False,True,
1762,one two zero nine five zero good day vietnam nine three four,audio_files/audio_1762.wav,12,False,True,
8107,swedestar zero five zulu line up runway three one,audio_files/audio_8107.wav,9,False,True,
6798,klm one three seven four level three hundred,audio_files/audio_6798.wav,8,False,True,
4665,sky travel four three two papa dobre odpoledne praha radar identified climb flight level one six zero,audio_files/audio_4665.wav,17,False,True,
7030,six zero request taxi,audio_files/audio_7030.wav,4,True,False,
10513,ruzyne tower wizz air four,audio_files/audio_10513.wav,5,False,True,
661,aero flot two kilo victor if available the we request level three six zero,audio_files/audio_661.wav,14,True,False,
884,praha tower good morning quality eight nine sierra request clearance to brno,audio_files/audio_884.wav,12,True,False,
10016,csa nine two one runway three one clear to land,audio_files/audio_10016.wav,10,False,True,
310,charlie zulu wind two five which is at one four knots fato two five landing on discretion,audio_files/audio_310.wav,17,True,False,
6074,we would be at about victor in forty seconds and requesting approach information information quebec qnh one zero two zero,audio_files/audio_6074.wav,20,True,False,
1280,lufthansa seven five zero one three three three nine zero good day,audio_files/audio_1280.wav,12,False,True,
7934,best possible request three one or three three three zero roger climb flight level three three zero,audio_files/audio_7934.wav,17,True,False,
1603,leaving now three two zero descend flight level two nine zero finn air eight zero seven mike lufthansa six november whiskey request descend,audio_files/audio_1603.wav,23,True,False,
10362,lufthansa seven one five one thousand five hundred one thousand five hundred feet per minute or more,audio_files/audio_10362.wav,17,False,True,
5726,confirm lufthansa two five two,audio_files/audio_5726.wav,5,True,False,
1243,alitalia four nine one contact wien one three four decimal four four zero good bye,audio_files/audio_1243.wav,15,False,True,
1228,reducing two three zero csa three sierra lima,audio_files/audio_1228.wav,8,False,True,
1019,ive five charlie,audio_files/audio_1019.wav,3,False,True,
6344,six bravo cha,audio_files/audio_6344.wav,3,False,True,
1955,climbing three one zero request,audio_files/audio_1955.wav,5,True,False,
3982,maximum two thousand feet vfr,audio_files/audio_3982.wav,5,False,True,
2875,lining up on runway one three opera jet three zero zero confirm no back track required,audio_files/audio_2875.wav,16,True,False,
9396,britair nine zero four charlie runway one three cleared for takeoff wind three five zero degrees four knots good bye cleared takeoff one three brit,audio_files/audio_9396.wav,25,False,True,
8401,papa one two one nine,audio_files/audio_8401.wav,5,False,True,
7436,lufthansa six four mike continue climb level three four zero,audio_files/audio_7436.wav,10,False,True,
7799,when ready two five zero cross kolad at level lot three,audio_files/audio_7799.wav,11,True,False,
7701,and report requested flight level,audio_files/audio_7701.wav,5,True,False,
5735,sky travel one zero three four proceed direct to rapet,audio_files/audio_5735.wav,10,False,True,
1080,bin air one zero bravo can you say again the frequency,audio_files/audio_1080.wav,11,True,False,
966,csa four echo line up runway three one and wait number two for departure number one atr intersection romeo,audio_files/audio_966.wav,19,False,True,
8265,six zero two three call you when leaving,audio_files/audio_8265.wav,8,True,False,
